primary,target_mode,lead,model,pooled_test_accuracy,sharpe,ann_return,max_drawdown,sortino,hit_rate,pct_traded,n_oos_days
EUR/USD,binary,2,"Logit (statsmodels, PCA)",0.49404761904761907,-0.30131152204168954,-0.023881181125899875,-0.1771695362340303,-0.41720990107395917,0.4981549815498155,0.9678571428571429,840.0
EUR/USD,binary,2,"Logistic (sklearn, on global PCA)",0.5047619047619047,-0.38968217264243465,-0.030627902858287093,-0.19044837679513127,-0.5327533797522032,0.5061124694376528,0.9738095238095238,840.0
EUR/USD,binary,2,Hist gradient boosting,0.4976190476190476,-0.4592361194789075,-0.03654987905176055,-0.3257421163110713,-0.6442020134702962,0.4951807228915663,0.9880952380952381,840.0
EUR/USD,binary,3,Gradient boosting (sklearn),0.5119047619047619,-0.38788115032565296,-0.03929086828830153,-0.44719461871781774,-0.5158299408909461,0.5102040816326531,0.9916666666666667,840.0
EUR/USD,binary,3,"Logit (statsmodels, PCA)",0.49523809523809526,-0.4685999063387718,-0.04712741412800192,-0.325249582296794,-0.6339146167442313,0.4987745098039216,0.9714285714285714,840.0
EUR/USD,binary,3,"Probit (statsmodels, PCA)",0.49523809523809526,-0.5886575021343585,-0.058178383324830496,-0.3462679515273227,-0.7879321863750347,0.4963235294117647,0.9714285714285714,840.0
EUR/USD,binary,3,Hist gradient boosting,0.49166666666666664,-0.636093935314036,-0.06362776379180801,-0.4536047589697706,-0.8844750067398556,0.4897959183673469,0.9916666666666667,840.0
EUR/USD,binary,3,"Logistic (sklearn, on global PCA)",0.49047619047619045,-0.6951572899022306,-0.06786461054900561,-0.35237798402361364,-0.9406530013125097,0.4907292954264524,0.9630952380952381,840.0
EUR/USD,binary,3,Ensemble (weighted train acc),0.49404761904761907,-0.8081226740413291,-0.07979593422132647,-0.4839988924798464,-1.069684054786014,0.49570552147239266,0.9702380952380952,840.0
EUR/USD,binary,3,Ensemble (mean proba),0.49642857142857144,-0.822724257387787,-0.08131939331829219,-0.47202302710392763,-1.0970119973906751,0.4926829268292683,0.9761904761904762,840.0
EUR/USD,binary,3,XGBoost,0.4857142857142857,-0.9553728350899892,-0.09403121801233583,-0.5113447517522172,-1.270155445012707,0.48677884615384615,0.9904761904761905,840.0
EUR/USD,binary,3,Random forest,0.49642857142857144,-0.9754367980070228,-0.09533735122779108,-0.5103212967157906,-1.2814110631885185,0.4963144963144963,0.969047619047619,840.0
EUR/USD,binary,3,MLP neural net,0.4797619047619048,-1.147500922215689,-0.10753436065652089,-0.47091062455707766,-1.5245796485884135,0.48128342245989303,0.8904761904761904,840.0
EUR/USD,binary,3,SVM (RBF),0.48214285714285715,-1.2330148567318535,-0.11877525961454527,-0.4661973105598878,-1.657697904015477,0.4808877928483354,0.9654761904761905,840.0
EUR/USD,binary,4,Hist gradient boosting,0.49047619047619045,-0.31467393696992685,-0.03739232944131787,-0.369558697021672,-0.4812286934722269,0.4904306220095694,0.9952380952380953,840.0
EUR/USD,binary,4,MLP neural net,0.5023809523809524,-0.7680735694074723,-0.08717304284259131,-0.4966677594779755,-1.048710730833898,0.5006369426751592,0.9345238095238095,840.0
EUR/USD,binary,4,Gradient boosting (sklearn),0.48214285714285715,-0.8008131207139074,-0.09217315197504783,-0.39594567870250597,-1.165623665784838,0.48028673835125446,0.9964285714285714,840.0
EUR/USD,binary,4,"Logistic (sklearn, on global PCA)",0.4857142857142857,-0.8237031927470276,-0.09402465748919608,-0.4683034722454559,-1.1653669018819057,0.48418491484184917,0.9785714285714285,840.0
EUR/USD,binary,4,"Logit (statsmodels, PCA)",0.48095238095238096,-0.9364405287497255,-0.10637106255544326,-0.4864056327855969,-1.3213259740110932,0.4848851269649335,0.9845238095238096,840.0
EUR/USD,binary,4,"Probit (statsmodels, PCA)",0.4785714285714286,-0.9846435907818992,-0.11154712881030837,-0.48709326891631755,-1.3902234871156596,0.4825090470446321,0.986904761904762,840.0
EUR/USD,binary,4,Ensemble (weighted train acc),0.4880952380952381,-1.042716551927198,-0.11782217289990582,-0.510572810646486,-1.4699675969236252,0.48477466504263095,0.9773809523809524,840.0
EUR/USD,binary,4,Ensemble (mean proba),0.4797619047619048,-1.1868976117022996,-0.13236486809037873,-0.5357204785795723,-1.6624707015496551,0.48175182481751827,0.9785714285714285,840.0
EUR/USD,binary,4,XGBoost,0.4785714285714286,-1.2379899782950445,-0.13886427513500876,-0.5199288967880424,-1.75882701060877,0.47909199522102747,0.9964285714285714,840.0
EUR/USD,binary,4,SVM (RBF),0.4642857142857143,-1.3039348205858738,-0.14533890432255892,-0.4761484964782313,-1.8629349216188045,0.46480582524271846,0.9809523809523809,840.0
EUR/USD,binary,4,Random forest,0.4738095238095238,-1.3192549504444742,-0.1458974781682829,-0.5219445987997655,-1.8652035139196568,0.47317073170731705,0.9761904761904762,840.0
EUR/USD,binary,5,Hist gradient boosting,0.4880952380952381,-0.42001475007016403,-0.05562295572693887,-0.45597015606523283,-0.643183771805922,0.4880668257756563,0.9976190476190476,840.0
EUR/USD,binary,5,"Logit (statsmodels, PCA)",0.513095238095238,-0.6445286186341632,-0.0837403326140107,-0.5196918050855692,-0.9107909894541265,0.5103030303030303,0.9821428571428571,840.0
EUR/USD,binary,5,"Probit (statsmodels, PCA)",0.5095238095238095,-0.7001868138652511,-0.0906878227214366,-0.5254800704631883,-0.9936254123735817,0.5066505441354293,0.9845238095238096,840.0
EUR/USD,binary,5,MLP neural net,0.5214285714285715,-0.8356555943485731,-0.10492542524631832,-0.5804170881850408,-1.0863736697470832,0.5137254901960784,0.9107142857142857,840.0
EUR/USD,binary,5,Ensemble (mean proba),0.4880952380952381,-0.9356616355638147,-0.11917786666074182,-0.555386230078946,-1.3105249465155733,0.4854014598540146,0.9785714285714285,840.0
EUR/USD,binary,5,"Logistic (sklearn, on global PCA)",0.4976190476190476,-1.0010275328604497,-0.12649533790816136,-0.5793947418558505,-1.4301362796477783,0.4963768115942029,0.9857142857142858,840.0
EUR/USD,binary,5,Ensemble (weighted train acc),0.4797619047619048,-1.0139424136883242,-0.1284548300545746,-0.5614846614838731,-1.4298207564518384,0.4806763285024155,0.9857142857142858,840.0
EUR/USD,binary,5,Gradient boosting (sklearn),0.46785714285714286,-1.1341291993060245,-0.1425645593692525,-0.5501469692649041,-1.6025514328924384,0.4688995215311005,0.9952380952380953,840.0
EUR/USD,binary,5,SVM (RBF),0.48928571428571427,-1.1544179380814992,-0.14425144904139453,-0.5333486290256593,-1.6335242737309748,0.48592411260709917,0.9726190476190476,840.0
EUR/USD,binary,5,Random forest,0.4773809523809524,-1.4024605983588339,-0.17215952487780495,-0.5767598691943618,-1.9595997713492017,0.4743276283618582,0.9738095238095238,840.0
EUR/USD,binary,5,XGBoost,0.46785714285714286,-1.541689698052812,-0.18876031680877903,-0.6347085826082433,-2.167141798053596,0.46467065868263474,0.9940476190476191,840.0
EUR/USD,binary,6,"Probit (statsmodels, PCA)",0.5226190476190476,-0.1460281580509156,-0.021354854210275054,-0.5350405621277361,-0.2090412412637806,0.5240963855421686,0.9880952380952381,840.0
EUR/USD,binary,6,"Logit (statsmodels, PCA)",0.5214285714285715,-0.21809483879537903,-0.03174370997186993,-0.5388574573822895,-0.3128944947781776,0.5199034981905911,0.986904761904762,840.0
EUR/USD,binary,6,MLP neural net,0.5357142857142857,-0.23190946025451054,-0.03266912474071604,-0.6088881062576628,-0.29734243918265246,0.5337662337662338,0.9166666666666666,840.0
EUR/USD,binary,6,"Logistic (sklearn, on global PCA)",0.5047619047619047,-0.29028809506728737,-0.04194525273972871,-0.5335585954234215,-0.42302989681301895,0.5078787878787879,0.9821428571428571,840.0
EUR/USD,binary,6,SVM (RBF),0.4976190476190476,-0.9686048151053122,-0.13273951545649187,-0.5470277761762319,-1.3835682195089114,0.49877750611246946,0.9738095238095238,840.0
EUR/USD,binary,6,Gradient boosting (sklearn),0.4785714285714286,-1.2045725416123603,-0.1623164305053667,-0.5992689780701769,-1.847817095323357,0.47601918465227816,0.9928571428571429,840.0
EUR/USD,binary,6,Ensemble (mean proba),0.48214285714285715,-1.3057054479751518,-0.17551148937234662,-0.6608211246010117,-1.8879132850410836,0.4837153196622437,0.986904761904762,840.0
EUR/USD,binary,6,Ensemble (weighted train acc),0.48214285714285715,-1.3358601906268759,-0.17870492497378465,-0.6572435963782253,-1.9323158305302832,0.4812121212121212,0.9821428571428571,840.0
EUR/USD,binary,6,Hist gradient boosting,0.46785714285714286,-1.44874148076211,-0.19280043107014444,-0.6574061587450786,-2.1513118969834277,0.4700956937799043,0.9952380952380953,840.0
EUR/USD,binary,6,Random forest,0.47023809523809523,-1.553962786218342,-0.20492157712072134,-0.6557283088142463,-2.240595357692505,0.4710843373493976,0.9880952380952381,840.0
EUR/USD,binary,6,XGBoost,0.4654761904761905,-1.5719745483084466,-0.20717019915856538,-0.6993255870747167,-2.3502495236687677,0.4658682634730539,0.9940476190476191,840.0
EUR/USD,binary,7,"Probit (statsmodels, PCA)",0.5202380952380953,0.2608089169050387,0.04240866587472292,-0.5232318154139051,0.407559341381051,0.5206812652068127,0.9785714285714285,840.0
EUR/USD,binary,7,"Logistic (sklearn, on global PCA)",0.5178571428571429,0.2064131051799088,0.033403936741594586,-0.5034038898241182,0.31949151717096475,0.5199034981905911,0.986904761904762,840.0
EUR/USD,binary,7,"Logit (statsmodels, PCA)",0.5214285714285715,0.0871930942314768,0.013984810695642391,-0.5230803714259675,0.13482214834295436,0.5175757575757576,0.9821428571428571,840.0
EUR/USD,binary,7,MLP neural net,0.5083333333333333,-0.7070310062952159,-0.10347495549443075,-0.5657498817222131,-0.9034949047062196,0.5187096774193548,0.9226190476190477,840.0
EUR/USD,binary,7,Hist gradient boosting,0.48095238095238096,-0.9338911458191478,-0.13810363037972417,-0.6531341190066582,-1.461838753682796,0.48086124401913877,0.9952380952380953,840.0
EUR/USD,binary,7,Gradient boosting (sklearn),0.4869047619047619,-0.947673549728285,-0.14002902735039635,-0.6259300095089522,-1.4427691996604857,0.48739495798319327,0.9916666666666667,840.0
EUR/USD,binary,7,Ensemble (weighted train acc),0.49047619047619045,-0.9731877403302538,-0.1435238415277188,-0.6216347281526639,-1.442252483748242,0.4897466827503016,0.986904761904762,840.0
EUR/USD,binary,7,Ensemble (mean proba),0.49047619047619045,-0.9853026562351094,-0.1451304163468139,-0.6237955853871612,-1.4609050058595314,0.4897466827503016,0.986904761904762,840.0
EUR/USD,binary,7,SVM (RBF),0.475,-1.1238662134486388,-0.16241784193828535,-0.6103071498572381,-1.5720520148546846,0.4731051344743276,0.9738095238095238,840.0
EUR/USD,binary,7,XGBoost,0.4630952380952381,-1.2376517832044585,-0.17848774701462777,-0.681837098838156,-1.9378615861383472,0.4639423076923077,0.9904761904761905,840.0
EUR/USD,binary,7,Random forest,0.46190476190476193,-1.4789959260427807,-0.2078104871759302,-0.6508084803782885,-2.2511195723332906,0.45843520782396086,0.9738095238095238,840.0
EUR/USD,binary,8,"Probit (statsmodels, PCA)",0.5321428571428571,0.9378409470571969,0.16931345254887797,-0.48667393840440154,1.6245537937749208,0.5351089588377724,0.9833333333333333,840.0
EUR/USD,binary,8,Gradient boosting (sklearn),0.5119047619047619,0.827976416175012,0.14898295610604584,-0.3437544472838663,1.3678846567626666,0.513126491646778,0.9976190476190476,840.0
EUR/USD,binary,8,"Logistic (sklearn, on global PCA)",0.5333333333333333,0.8268951100855649,0.14806227681494555,-0.43046778464002344,1.3990097010430511,0.5349397590361445,0.9880952380952381,840.0
